运动户外>健身训练>美腰机/挺腰器,1318>1463>s8151,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>美腰机/挺腰器,50010728>50038418>50038433
医药保健>营养成分>益生菌,9192>9194>12172,奶粉/辅食/营养品>婴幼儿营养品>益生菌,50025137>51216045>50038368
医药保健>营养成分>益生菌,9192>9194>12172,天猫国际>婴幼儿营养>益生菌,52792006>56116003>56154002
医药保健>营养成分>益生菌,9192>9194>12172,孕妇装/孕产妇用品/营养>叶酸/维生素/钙铁锌>益生菌,50067081>50005997>50105365
医药保健>营养成分>益生菌,9192>9194>12172,天猫国际>菌菇制品>益生菌,52792006>55870011>55846020
医药保健>营养成分>益生菌,9192>9194>12172,冲饮>乳制品>酸奶/益生菌,54980001>55052003>50099988
服饰内衣>服饰配件>遮阳伞/雨伞,1315>1346>12034,居家日用>清凉一夏>雨伞/遮阳伞/雨具,21>56420019>210211
服饰内衣>服饰配件>遮阳伞/雨伞,1315>1346>12034,居家日用>包邮专区>遮阳伞/雨伞/沙滩伞,21>50046743>50045894
服饰内衣>服饰配件>遮阳伞/雨伞,1315>1346>12034,居家日用>5元以下小商品区>雨伞/遮阳伞/沙滩伞,21>50049145>50046802
宠物生活>洗护美容>浴液,6994>7001>7035,宠物/宠物食品及用品>猫/狗梳理美容>香波浴液,29>50071294>50071295
宠物生活>洗护美容>浴液,6994>7001>7035,宠物食品及用品>猫/狗清洁美容>浴液/香水/除味,50034368>50043502>50043503
礼品箱包>功能箱包>电脑包,1672>2577>3997,3C数码配件市场>笔记本电脑配件>电脑包,50008090>50076922>50027117
服饰内衣>服饰配件>防辐射眼镜,1315>1346>12019,ZIPPO/瑞士军刀/眼镜>功能眼镜>防辐射眼镜,28>50018619>50018625
宠物生活>水族>清洁用具,6994>13968>13976,宠物/宠物食品及用品>龟虾蟹类及其用品>鱼缸清洁用具,29>50070957>50070974
宠物生活>医疗保健,6994>6997,宠物食品及用品>鼠类及小宠>医疗/保健品,50034368>50043541>50043544
鞋靴>时尚女鞋>内增高,11729>11731>12063,天猫国际>女鞋>内增高,52792006>55816013>55848029
鞋靴>时尚女鞋>内增高,11729>11731>12063,天猫国际>女鞋>高帮鞋,52792006>55816013>55834022
母婴>童装童鞋>儿童运动鞋,1319>11842>s4993,运动鞋>儿童运动鞋>男童运动鞋,50020909>53004005>53204006
母婴>童装童鞋>儿童运动鞋,1319>11842>s4993,运动鞋>儿童运动鞋>女童运动鞋,50020909>53004005>53202004
运动户外>户外装备>滑翔伞,1318>1462>s2307,户外运动用品>辅助用品>滑翔伞,2203>50450032>50033086
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>服装类>其他户外服装,50022787>50105900>55836016
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>头巾/围巾,50022787>50096745>50107500
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>头盔/面罩,50022787>50096745>50107498
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>帽子,50022787>50096745>50107499
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>套脚,50022787>50096745>50107507
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>护膝/护腕,50022787>50096745>50107506
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>袜子,50022787>50096745>50107505
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>雨披,50022787>50096745>50107508
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>手套,50022787>50096745>50107502
运动户外>户外装备>户外配饰,1318>1462>2629,户外鞋服/装备>配饰类>眼镜/风镜,50022787>50096745>50107501
运动户外>体育用品>其他,1318>1466>5156,户外运动用品>船只舰艇>其他,2203>50032666>50032711
运动户外>体育用品>其他,1318>1466>5156,天猫超市>体育用品/文具耗材>其他,50514008>50514011>50754002
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马鞭,50010728>50071984>50072976
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>足球运动>守门员手套,50043669>50043678>50043750
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马匹清洁/马房用品,50010728>50071984>50072985
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>重剑面罩,50010728>50071985>50073037
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>佩剑面罩,50010728>50071985>50073046
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>滚铁环,50043669>50107529>55846040
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>广场舞,50043669>50105016>55834012
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马鞍架,50010728>50071984>50072980
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>击剑,50043669>50104457>55816012
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马术场地用具,50010728>50071984>50072988
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>拳击,50043669>50104457>50104461
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马鞍垫,50010728>50071984>50072979
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>击剑鞋/袜,50010728>50071985>50073021
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马术头盔,50010728>50071984>50072967
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>摩登舞,50043669>50105016>55836031
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>三节甩棍/伸缩棍,50043669>50104457>55880037
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>花剑零配,50010728>50071985>50073030
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>号码布,50010728>50071984>50073006
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>游泳运动>女式泳衣,50043669>55814030>50106524
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>电动花剑条,50010728>50071985>50073024
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马裤/大恰,50010728>50071984>50072968
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>佩剑零配,50010728>50071985>50073048
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>骑士服装,50010728>50071984>50072970
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>台球运动>皮头/杆头,50043669>55818016>55822043
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>击剑剑包,50010728>50071985>50073020
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>电动重剑整剑,50010728>50071985>50073031
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马术文化用品,50010728>50071984>50072987
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马鞍护理液/鞍油,50010728>50071984>50072982
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>篮球运动>Decathlon/迪卡侬,50043669>50020950>56248013
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>花剑面罩,50010728>50071985>50073028
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马衣,50010728>50071984>50073003
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>马术运动>马球用品,50043669>55834011>55838022
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>电动重剑条,50010728>50071985>50073033
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>重剑剑服,50010728>50071985>50073036
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>肚带/肚带扣,50010728>50071984>50073000
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>骑士马靴,50010728>50071984>50072969
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>跆拳道,50043669>50104457>50104460
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马匹保健,50010728>50071984>50072986
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马蹄铁,50010728>50071984>50072992
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>棒球运动>棒球服,50043669>55864030>55874038
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>九节鞭,50043669>50104457>55856049
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>网球运动>Decathlon/迪卡侬,50043669>50043673>56224012
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>瑜伽运动>瑜伽舒展器/健康架,50043669>55806025>55806027
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>游泳运动>情侣泳衣,50043669>55814030>50106478
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>马术运动>Decathlon/迪卡侬,50043669>55834011>56260009
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>佩剑剑服,50010728>50071985>50073045
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>网球运动>手胶/吸汗带,50043669>50043673>50043744
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>空竹,50043669>50107529>50107532
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马鞍包/袋,50010728>50071984>50072981
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>马术运动>马匹装备,50043669>55834011>55868013
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>负重设备,50043669>50104457>55876028
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>板羽球拍,50043669>50107529>55854032
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>拉丁舞,50043669>50105016>50105017
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>瑜伽运动>伸展带/瑜伽绳,50043669>55806025>55878039
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>电动佩剑条,50010728>50071985>50073042
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>太极,50043669>50104457>50104459
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>沙包,50043669>50107529>55864032
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>台球运动>杆盒/杆筒/杆袋,50043669>55818016>55850049
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>排球运动>Decathlon/迪卡侬,50043669>55846034>56236011
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>花剑剑服,50010728>50071985>50073027
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>跳舞毯,50043669>50105016>50043682
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>口衔铁/马嚼/马衔,50010728>50071984>50072997
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>Decathlon/迪卡侬,50043669>50104457>56254008
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>前胸带/低头革,50010728>50071984>50073002
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>花剑手套,50010728>50071985>50073029
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马术风镜,50010728>50071984>50072973
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>篮球运动>裁判/教练用品,50043669>50020950>55862042
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>门球,50043669>50107529>55816042
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>电动佩剑整剑,50010728>50071985>50073040
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>训练花剑整剑,50010728>50071985>50073023
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>佩剑手套,50010728>50071985>50073047
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>棒球运动>棒球棒,50043669>55864030>55844042
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马缰绳,50010728>50071984>50072999
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>拔河绳,50043669>50107529>55882034
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>马术运动>骑士装备,50043669>55834011>55882015
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马刺/马刺带,50010728>50071984>50072975
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马球用品,50010728>50071984>50072984
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>游泳运动>儿童泳衣,50043669>55814030>50106525
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马鞍,50010728>50071984>50072966
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>脱鞋器,50010728>50071984>50072978
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>肚皮舞,50043669>50105016>50105018
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>瑜伽运动>瑜伽拉力带,50043669>55806025>55812029
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>瑜伽运动>Decathlon/迪卡侬,50043669>55806025>56266012
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>芭蕾舞,50043669>50105016>55838029
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>双截棍,50043669>50104457>55826035
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>游泳运动>亲子泳衣,50043669>55814030>50106479
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马绑腿/马护腿/马护蹄,50010728>50071984>50073005
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>陀螺,50043669>50107529>55830038
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马镫,50010728>50071984>50072990
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>棒球运动>棒球手套,50043669>55864030>55882033
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>现代舞,50043669>50105016>50105019
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>武术运动>更多武术装备,50043669>50104457>50104462
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马术护腿,50010728>50071984>50072972
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马蹄钉,50010728>50071984>50072993
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>风筝,50043669>50107529>50107534
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>棒球运动>棒球,50043669>55864030>55852046
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>健美操,50043669>50105016>50105020
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>牵马/调教龙头,50010728>50071984>50072998
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>毽子,50043669>50107529>50107531
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>电动花剑整剑,50010728>50071985>50073022
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马眼罩/耳罩/嘴套/护尾,50010728>50071984>50073004
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>民间运动>更多,50043669>50107529>50107533
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>重剑零配,50010728>50071985>50073039
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>游泳运动>Decathlon/迪卡侬,50043669>55814030>56254007
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>足球运动>Decathlon/迪卡侬,50043669>50043678>56252011
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>蹬带,50010728>50071984>50073001
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马术手套,50010728>50071984>50072971
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>更多舞种,50043669>50105016>50105021
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马术包/骑士包,50010728>50071984>50072974
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>瑜伽运动>洗鼻壶/洗鼻盐,50043669>55806025>55872042
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>水勒缰(水勒/缰绳/口衔套装),50010728>50071984>50072996
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>舞蹈运动>Decathlon/迪卡侬,50043669>50105016>56210006
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>击剑运动>击剑护具,50010728>50071985>50073019
运动户外>体育用品>其他,1318>1466>5156,运动用品/瑜伽/球类/健身>台球运动>巧克粉,50043669>55818016>55878045
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>马术运动>马镫带/马镫革,50010728>50071984>50072991
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>赛事纪念/球迷用品>赛车迷用品,50010728>50412026>50418008
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>赛事纪念/球迷用品>棒球迷用品,50010728>50412026>50408011
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>棒球>棒球棒,50010728>50039712>50039714
运动户外>体育用品>其他,1318>1466>5156,玩具/童车/益智/积木/模型>户外/娱乐/运动>跳跃玩具/跳跃运动,50005998>2512>50033104
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>棒球>棒球鞋,50010728>50039712>50039718
运动户外>体育用品>其他,1318>1466>5156,玩具/童车/益智/积木/模型>户外/娱乐/运动>球类玩具/球类运动,50005998>2512>50007122
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>跳绳/呼啦圈/民间运动>更多民间运动用品,50010728>50412025>50040158
运动户外>体育用品>其他,1318>1466>5156,户外运动用品>鱼竿>其他钓竿,2203>50450022>50432030
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>棒球>棒球球迷用品,50010728>50039712>50039720
运动户外>体育用品>其他,1318>1466>5156,运动/瑜伽/健身/球迷用品>其他球类>橄榄球,50010728>50488001>50040217
数码>数码配件>耳机绕线器,652>829>s3100,3C数码配件市场>数码包/收纳/整理>耳机绕线器,50008090>50076928>50077346
服饰内衣>男装>羽绒服,1315>1342>3982,天猫国际>男装>羽绒服,52792006>55872020>55828010
服饰内衣>男装>羽绒服,1315>1342>3982,运动服/休闲服>男装>羽绒服(男),50016756>50426024>50430008
服饰内衣>男装>羽绒服,1315>1342>3982,精品男装>大码>羽绒服,50025174>50076793>50214009
服饰内衣>男装>羽绒服,1315>1342>3982,精品男装>设计潮牌馆>羽绒服,50025174>50071477>50100130
服饰内衣>男装>羽绒服,1315>1342>3982,精品男装>国际馆>羽绒服,50025174>53412001>53414003
服饰内衣>男装>羽绒服,1315>1342>3982,天猫国际>男装>棉裤/羽绒裤/皮裤,52792006>55872020>55852021
服饰内衣>男装>羽绒服,1315>1342>3982,精品男装>青春馆>羽绒服,50025174>53414001>53428004
服饰内衣>男装>羽绒服,1315>1342>3982,精品男装>中老年服装>羽绒服,50025174>50100128>50218004
服饰内衣>男装>羽绒服,1315>1342>3982,精品男装>商务馆>羽绒服,50025174>53306006>53396002
服饰内衣>男装>羽绒服,1315>1342>3982,精品男装>时尚馆>羽绒服,50025174>53384001>53430002
服饰内衣>男装>羽绒服,1315>1342>3982,精品男装>商场同款>羽绒服,50025174>53446004>53420003
服饰内衣>男装>羽绒服,1315>1342>3982,导航平台>男士服饰>羽绒服,50041194>52478004>52522004
医药保健>营养健康>缓解疲劳,9192>9193>12162,天猫国际>功能性保健品>缓解疲劳,52792006>55864009>55898011
医药保健>营养健康>缓解疲劳,9192>9193>12162,保健滋补医药器械>健康需求>缓解视疲劳,50106154>57334310>57334204
医药保健>营养健康>缓解疲劳,9192>9193>12162,营养保健参茸滋补>男性健康>缓解视疲劳,55854025>56600038>56556027
医药保健>营养健康>缓解疲劳,9192>9193>12162,保健滋补医药器械>健康需求>缓解压力,50106154>57334310>57346011
医药保健>营养健康>缓解疲劳,9192>9193>12162,营养保健参茸滋补>男性健康>抗疲劳,55854025>56600038>56608022
医药保健>营养健康>缓解疲劳,9192>9193>12162,天猫国际>功能性保健品>缓解视疲劳,52792006>55864009>55844017
礼品箱包>精品男包>帆布包,1672>2576>1001068,品牌箱包>精品男包>男士帆布包,51052003>53700004>53674021
礼品箱包>精品男包>帆布包,1672>2576>1001068,品牌箱包>双肩背包>休闲帆布包,51052003>55730007>55772011
珠宝首饰>时尚饰品>婚庆饰品,6144>6182>6194,导航平台>新人装扮/婚庆服务/婚庆用品>饰品,50041194>51538082>51584098
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>男士手提包,52792006>55882016>55852027
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>卡包,52792006>55882016>55842025
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>潮流男包,52792006>55882016>55818033
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>双肩背包>背包,51052003>55730007>55850020
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>女士手拎包,52792006>55882016>55816024
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>男士手拿包,52792006>55882016>55866025
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>长款钱包,52792006>55882016>55872031
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>钥匙包,52792006>55882016>55852029
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>女士钱包,52792006>55882016>55814024
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>双肩背包,52792006>55882016>55872030
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>时尚女包,52792006>55882016>55844027
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>旅行箱,52792006>55882016>55832028
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>登机箱（20寸及以下）,52792006>55882016>55862028
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>短款钱包,52792006>55882016>55834023
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫国际>箱包>托运箱（20寸以上）,52792006>55882016>55848031
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>邮差包,51052003>53690009>55748001
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>国际名品>双肩包,51052003>53702003>53614020
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>双肩背包>韩版双肩包,51052003>55730007>56556002
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>国际名品>旅行箱,51052003>53702003>53656012
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫超市>箱包饰品>学生书包,50514008>56974002>56930003
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>双肩背包>双肩布包,51052003>55730007>56570002
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>双肩背包>真皮背包,51052003>55730007>56594001
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>双肩背包>PU背包,51052003>55730007>55796009
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>女士布包,51052003>53690009>56582001
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>旅行箱/包>金属箱,51052003>55750010>55728013
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>杀手包,51052003>53690009>53622017
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>机车包,51052003>53690009>55740001
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫超市>箱包饰品>福字红包,50514008>56974002>50704001
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫超市>箱包饰品>手提袋,50514008>56974002>56950005
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>饺子包,51052003>53690009>53646014
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>百搭包,51052003>53690009>56584001
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>女士PU包,51052003>53690009>53632020
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>小圆包,51052003>53690009>56178001
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>翅膀包,51052003>53690009>55744001
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>波士顿包,51052003>53690009>55742001
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>女士手拎包,51052003>53690009>53680009
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>戴妃包,51052003>53690009>55754001
礼品箱包>奢侈品>箱包,1672>2615>9186,品牌箱包>时尚女包>凯莉包,51052003>53690009>56588001
礼品箱包>奢侈品>箱包,1672>2615>9186,天猫超市>箱包饰品>女包,50514008>56974002>56976002
美妆个护>面部护肤>乳液面霜,1316>1381>1391,孕妇装/孕妈用品专区>面部护理>乳液面霜,50029253>50340010>50034747
美妆个护>面部护肤>乳液面霜,1316>1381>1391,孕妇装/孕产妇用品/营养>孕产妇护肤/洗护>乳液/面霜,50067081>50043340>50105342
美妆个护>面部护肤>乳液面霜,1316>1381>1391,美容护肤/美体/精油>男士护理>男士乳液/面霜,1801>50011988>50076502
美妆个护>面部护肤>乳液面霜,1316>1381>1391,导航平台>国货精品/开架化妆品>乳液/面霜,50041194>50018121>50019529
美妆个护>面部护肤>乳液面霜,1316>1381>1391,家庭清洁/个人洗护用具>皂盒/乳液器>乳液器,50072436>51084002>50026275
